ceil,wall,eff_floor,cavity_ratio,mf
30,30,20,3,1
30,30,20,4,1
30,30,20,5,1
30,30,20,6,1
30,30,20,7,1
30,30,20,8,1
30,30,20,9,1
30,30,20,10,1
30,10,20,1,1
30,10,20,2,1
30,10,20,3,1
30,10,20,4,1
30,10,20,5,1
30,10,20,6,1
30,10,20,7,1
30,10,20,8,1
30,10,20,9,1
30,10,20,10,1
10,50,20,1,1
10,50,20,2,1
10,50,20,3,1
10,50,20,4,1
10,50,20,5,1
10,50,20,6,1
10,50,20,7,1
10,50,20,8,1
10,50,20,9,1
10,50,20,10,1
10,30,20,1,1
10,30,20,2,1
10,30,20,3,1
10,30,20,4,1
10,30,20,5,1
10,30,20,6,1
10,30,20,7,1
10,30,20,8,1
10,30,20,9,1
10,30,20,10,1
10,10,20,1,1
10,10,20,2,1
10,10,20,3,1
10,10,20,4,1
10,10,20,5,1
10,10,20,6,1
10,10,20,7,1
10,10,20,8,1
10,10,20,9,1
10,10,20,10,1
